ID,HR,Label
0,81,Normal
1,81,Normal
2,81,Normal
3,81,Normal
4,81,Normal
5,81,Normal
6,81,Normal
7,81,Normal
8,81,Normal
9,81,Normal
10,81,Normal
11,81,Normal
12,81,Normal
13,80,Normal
14,80,Normal
15,80,Normal
16,80,Normal
17,80,Normal
18,80,Normal
19,79,Normal
20,79,Normal
21,79,Normal
22,79,Normal
23,79,Normal
24,79,Normal
25,79,Normal
26,79,Normal
27,79,Normal
28,79,Normal
29,79,Normal
30,79,Normal
31,79,Normal
32,79,Normal
33,78,Normal
34,78,Normal
35,78,Normal
36,78,Normal
37,78,Normal
38,78,Normal
39,78,Normal
40,78,Normal
41,78,Normal
42,78,Normal
43,78,Normal
44,78,Normal
45,78,Normal
46,78,Normal
47,78,Normal
48,78,Normal
49,78,Normal
50,78,Normal
51,78,Normal
52,78,Normal
53,78,Normal
54,78,Normal
55,78,Normal
56,78,Normal
57,78,Normal
58,78,Normal
59,78,Normal
60,78,Normal
61,78,Normal
62,78,Normal
63,78,Normal
64,78,Normal
65,78,Normal
66,78,Normal
67,78,Normal
68,78,Normal
69,78,Normal
70,78,Normal
71,79,Normal
72,79,Normal
73,79,Normal
74,79,Normal
75,79,Normal
76,79,Normal
77,79,Normal
78,79,Normal
79,79,Normal
80,79,Normal
81,79,Normal
82,79,Normal
83,78,Normal
84,78,Normal
85,78,Normal
86,78,Normal
87,78,Normal
88,78,Normal
89,79,Normal
90,79,Normal
91,79,Normal
92,79,Normal
93,79,Normal
94,79,Normal
95,79,Normal
96,79,Normal
97,79,Normal
98,79,Normal
99,79,Normal
100,79,Normal
101,79,Normal
102,78,Normal
103,78,Normal
104,78,Normal
105,78,Normal
106,78,Normal
107,78,Normal
108,78,Normal
109,78,Normal
110,78,Normal
111,78,Normal
112,78,Normal
113,78,Normal
114,78,Normal
115,78,Normal
116,78,Normal
117,78,Normal
118,78,Normal
119,78,Normal
120,79,Normal
121,79,Normal
122,79,Normal
123,79,Normal
124,79,Normal
125,79,Normal
126,79,Normal
127,79,Normal
128,79,Normal
129,79,Normal
130,79,Normal
131,79,Normal
132,79,Normal
133,79,Normal
134,79,Normal
135,79,Normal
136,79,Normal
137,79,Normal
138,79,Normal
139,79,Normal
140,79,Normal
141,79,Normal
142,79,Normal
143,79,Normal
144,79,Normal
145,79,Normal
146,79,Normal
147,79,Normal
148,79,Normal
149,79,Normal
150,80,Normal
151,80,Normal
152,80,Normal
153,80,Normal
154,80,Normal
155,80,Normal
156,80,Normal
157,80,Normal
158,80,Normal
159,80,Normal
160,80,Normal
161,80,Normal
162,80,Normal
163,81,Normal
164,81,Normal
165,81,Normal
166,81,Normal
167,81,Normal
168,81,Normal
169,81,Normal
170,81,Normal
171,81,Normal
172,81,Normal
173,81,Normal
174,81,Normal
175,81,Normal
176,81,Normal
177,81,Normal
178,81,Normal
179,81,Normal
180,81,Normal
181,81,Normal
182,81,Normal
183,81,Normal
184,81,Normal
185,81,Normal
186,81,Normal
187,81,Normal
188,81,Normal
189,81,Normal
190,81,Normal
191,81,Normal
192,81,Normal
193,81,Normal
194,81,Normal
195,81,Normal
196,81,Normal
197,81,Normal
198,81,Normal
199,81,Normal
200,81,Normal
201,81,Normal
202,81,Normal
203,81,Normal
204,81,Normal
205,81,Normal
206,81,Normal
207,81,Normal
208,81,Normal
209,81,Normal
210,81,Normal
211,81,Normal
212,81,Normal
213,81,Normal
214,81,Normal
215,81,Normal
216,81,Normal
217,81,Normal
218,81,Normal
219,81,Normal
220,81,Normal
221,80,Normal
222,80,Normal
223,80,Normal
224,80,Normal
225,80,Normal
226,80,Normal
227,80,Normal
228,79,Normal
229,79,Normal
230,79,Normal
231,79,Normal
232,79,Normal
233,79,Normal
234,79,Normal
235,79,Normal
236,79,Normal
237,79,Normal
238,79,Normal
239,79,Normal
240,79,Normal
241,79,Normal
242,79,Normal
243,79,Normal
244,79,Normal
245,79,Normal
246,79,Normal
247,79,Normal
248,78,Normal
249,78,Normal
250,78,Normal
251,78,Normal
252,78,Normal
253,78,Normal
254,78,Normal
255,78,Normal
256,78,Normal
257,78,Normal
258,78,Normal
259,78,Normal
260,78,Normal
261,78,Normal
262,78,Normal
263,78,Normal
264,78,Normal
265,78,Normal
266,78,Normal
267,78,Normal
268,77,Normal
269,77,Normal
270,77,Normal
271,77,Normal
272,77,Normal
273,77,Normal
274,77,Normal
275,77,Normal
276,77,Normal
277,77,Normal
278,77,Normal
279,77,Normal
280,77,Normal
281,77,Normal
282,77,Normal
283,77,Normal
284,77,Normal
285,77,Normal
286,77,Normal
287,77,Normal
288,77,Normal
289,77,Normal
290,77,Normal
291,77,Normal
292,77,Normal
293,77,Normal
294,76,Normal
295,76,Normal
296,76,Normal
297,76,Normal
298,76,Normal
299,76,Normal
300,76,Normal
301,76,Normal
302,76,Normal
303,76,Normal
304,76,Normal
305,76,Normal
306,76,Normal
307,76,Normal
308,76,Normal
309,76,Normal
310,76,Normal
311,76,Normal
312,76,Normal
313,76,Normal
314,76,Normal
315,75,Normal
316,75,Normal
317,75,Normal
318,75,Normal
319,75,Normal
320,75,Normal
321,75,Normal
322,75,Normal
323,75,Normal
324,75,Normal
325,75,Normal
326,75,Normal
327,75,Normal
328,74,Normal
329,74,Normal
330,74,Normal
331,74,Normal
332,74,Normal
333,74,Normal
334,74,Normal
335,74,Normal
336,74,Normal
337,74,Normal
338,74,Normal
339,74,Normal
340,74,Normal
341,74,Normal
342,74,Normal
343,74,Normal
344,74,Normal
345,74,Normal
346,74,Normal
347,74,Normal
348,74,Normal
349,74,Normal
350,74,Normal
351,74,Normal
352,74,Normal
353,74,Normal
354,74,Normal
355,74,Normal
356,74,Normal
357,74,Normal
358,74,Normal
359,74,Normal
360,74,Normal
361,75,Normal
362,75,Normal
363,75,Normal
364,75,Normal
365,75,Normal
366,75,Normal
367,75,Normal
368,75,Normal
369,75,Normal
370,75,Normal
371,75,Normal
372,75,Normal
373,75,Normal
374,75,Normal
375,75,Normal
376,75,Normal
377,75,Normal
378,75,Normal
379,75,Normal
380,75,Normal
381,75,Normal
382,75,Normal
383,75,Normal
384,75,Normal
385,76,Normal
386,76,Normal
387,76,Normal
388,76,Normal
389,76,Normal
390,76,Normal
391,76,Normal
392,76,Normal
393,76,Normal
394,76,Normal
395,76,Normal
396,76,Normal
397,76,Normal
398,76,Normal
399,76,Normal
400,76,Normal
401,76,Normal
402,76,Normal
403,76,Normal
404,76,Normal
405,76,Normal
406,76,Normal
407,76,Normal
408,76,Normal
409,76,Normal
410,76,Normal
411,76,Normal
412,76,Normal
413,77,Normal
414,77,Normal
415,77,Normal
416,77,Normal
417,77,Normal
418,79,Normal
419,79,Normal
420,79,Normal
421,79,Normal
422,79,Normal
423,79,Normal
424,79,Normal
425,79,Normal
426,79,Normal
427,79,Normal
428,82,Normal
429,82,Normal
430,82,Normal
431,82,Normal
432,82,Normal
433,84,Normal
434,84,Normal
435,84,Normal
